,Manufacturer,Model,Engine size,Fuel type,Year of manufacture,Mileage,Price
0,ford,fiesta,1.0,petrol,2002.0,127300.0,3074.0
1,porsche,718 cayman,4.0,petrol,2016.0,57850.0,49704.0
2,ford,mondeo,0.0,diesel,2014.0,39190.0,24072.0
3,toyota,rav4,1.8,hybrid,1988.0,210814.0,1705.0
4,vw,polo,1.0,petrol,2006.0,127869.0,4101.0
5,ford,focus,1.4,petrol,2018.0,33603.0,29204.0
6,ford,mondeo,1.8,diesel,2010.0,86686.0,14350.0
7,toyota,prius,1.4,hybrid,2015.0,0.0,30297.0
8,desconocido,polo,1.2,petrol,2012.0,73470.0,9977.0
9,ford,focus,2.0,desconocido,1992.0,262514.0,1049.0
10,vw,golf,0.0,diesel,2014.0,83047.0,17173.0
11,bmw,z4,2.0,petrol,1990.0,293666.0,0.0
12,vw,golf,1.2,desconocido,2007.0,92697.0,7792.0
13,toyota,rav4,2.2,petrol,2007.0,79393.0,16026.0
14,toyota,yaris,1.4,petrol,1998.0,97286.0,4046.0
15,vw,golf,1.6,diesel,1989.0,222390.0,933.0
16,toyota,rav4,2.4,desconocido,2003.0,117425.0,11667.0
17,toyota,yaris,1.2,petrol,1992.0,245990.0,720.0
18,toyota,rav4,2.0,hybrid,2018.0,28381.0,0.0
19,vw,polo,1.2,petrol,1998.0,155038.0,2118.0
20,vw,golf,1.2,hybrid,1987.0,121744.0,1890.0
21,ford,mondeo,1.6,diesel,1996.0,0.0,5667.0
22,toyota,prius,1.0,hybrid,2003.0,115291.0,6512.0
23,toyota,prius,1.0,hybrid,1990.0,238571.0,961.0
24,porsche,911,2.6,petrol,2009.0,66273.0,41963.0
25,toyota,prius,1.8,hybrid,2017.0,31958.0,38961.0
26,desconocido,911,3.5,petrol,2005.0,151556.0,19747.0
27,toyota,yaris,1.2,petrol,2002.0,179097.0,2548.0
28,vw,golf,2.0,petrol,0.0,18985.0,36387.0
29,toyota,rav4,1.8,hybrid,2002.0,66990.0,13553.0
30,ford,focus,1.0,hybrid,2010.0,85131.0,12472.0
31,ford,fiesta,1.0,petrol,2001.0,144731.0,0.0
32,vw,polo,2.0,diesel,2008.0,97001.0,8784.0
33,vw,desconocido,1.6,desconocido,2016.0,52409.0,17257.0
34,ford,fiesta,1.4,petrol,2010.0,112714.0,6936.0
35,vw,passat,2.0,diesel,0.0,198540.0,1964.0
36,vw,passat,1.8,diesel,1989.0,213162.0,1340.0
37,bmw,z4,2.2,petrol,2005.0,0.0,8511.0
38,vw,polo,1.6,petrol,2008.0,129588.0,0.0
39,bmw,z4,2.0,petrol,1990.0,148586.0,2637.0
40,ford,focus,2.0,petrol,1995.0,91173.0,5181.0
41,bmw,m5,4.0,petrol,2017.0,22759.0,97758.0
42,vw,polo,1.4,petrol,0.0,261526.0,522.0
43,vw,passat,1.4,diesel,1995.0,235594.0,1439.0
44,bmw,z4,2.0,petrol,1995.0,42759.0,7873.0
45,vw,passat,1.8,diesel,2005.0,103352.0,9633.0
46,vw,passat,1.6,petrol,2003.0,63372.0,10001.0
47,toyota,yaris,1.0,petrol,2009.0,51787.0,9689.0
48,ford,fiesta,1.4,petrol,2014.0,41495.0,14721.0
49,toyota,yaris,1.4,petrol,2010.0,43111.0,12928.0
50,ford,fiesta,1.0,diesel,2017.0,38370.0,16257.0
51,toyota,rav4,2.4,petrol,2018.0,24588.0,49125.0
